116	320	45362	4
0	3.2	14	65	0.064	-0.3	0.2	0	0.37	0.6
0	15.8	18	60	0.008	-0.6	0.35	0	0	0.1
0.0	14	25	53	0.019	-0.4	0.35	0	0.08	0.58
0.009	14	25	57	0.019	-0.2	0.35	0	0.08	0.58
0.018	14	25	60	0.019	0.0	0.35	0	0.08	0.58
0.027	14	25	64	0.019	0.2	0.35	0	0.08	0.58
2.7	2.9	14	72	0.064	0.3	0.2	0	0.37	0.6
6	0.129667	60	69	0.09545	-0.08	0.34	0	0.16	0.22
6.1	3.8	14	69	0.064	0.3	0.2	0	0.37	0.6
6.125667	2.443698	52	69	0.115	-0.08	0.34	-0.28	0.16	0.22
8.565365	0.129667	57	69	0.09545	-0.08	0.34	0	0.16	0.22
8.746032	2.569365	45	65	0.115	-0.08	0.34	-0.28	0.16	0.22
11.311397	0.129667	57	65	0.09545	-0.08	0.34	0	0.16	0.22
11.492063	0.092933	77	62	0.0736	-0.08	0.34	0	0.16	0.22
11.580997	0.129667	59	62	0.09545	-0.08	0.34	0	0.16	0.22
11.706663	2.76667	43	62	0.115	-0.08	0.34	-0.28	0.16	0.22
12	3.2	14	65	0.064	-0.3	0.2	0	0.37	0.6
14.469333	0.129667	63	62	0.0736	-0.08	0.34	0	0.16	0.22
14.7	2.9	14	72	0.064	0.3	0.2	0	0.37	0.6
16	15.8	18	60	0.008	0.6	0.35	0	0	0.1
16.0	14	25	50	0.019	-0.4	0.35	0	0.08	0.58
16.009	14	25	53	0.019	-0.2	0.35	0	0.08	0.58
16.018	14	25	57	0.019	0.0	0.35	0	0.08	0.58
17.5	7.7	28	65	0.03	0.15	0.35	0	0.25	0.65
18.1	3.8	14	69	0.064	0.3	0.2	0	0.37	0.6
24	3.2	14	62	0.064	-0.3	0.2	0	0.37	0.6
26.7	2.9	14	69	0.064	0.3	0.2	0	0.37	0.6
30.1	3.8	14	65	0.064	0.3	0.2	0	0.37	0.6
32	15.8	18	60	0.008	-0.6	0.35	0	0	0.1
32.0	14	25	57	0.019	-0.4	0.35	0	0.08	0.58
32.009	14	25	60	0.019	-0.2	0.35	0	0.08	0.58
32.018	14	25	64	0.019	0.0	0.35	0	0.08	0.58
32.027	14	25	67	0.019	0.2	0.35	0	0.08	0.58
36	3.2	14	69	0.064	-0.3	0.2	0	0.37	0.6
38.7	2.9	14	76	0.064	0.3	0.2	0	0.37	0.6
42.1	3.8	14	72	0.064	0.3	0.2	0	0.37	0.6
48	3.2	14	70	0.064	-0.3	0.2	0	0.37	0.6
48	15.8	18	60	0.0035	0.6	0.35	0	0	0.1
48.0	14	25	58	0.019	-0.4	0.35	0	0.08	0.58
48	0.129667	60	74	0.1494	-0.08	0.34	0	0.16	0.22
48.009	14	25	62	0.019	-0.2	0.35	0	0.08	0.58
48.018	14	25	65	0.019	0.0	0.35	0	0.08	0.58
48.027	14	25	69	0.019	0.2	0.35	0	0.08	0.58
48.125667	3.396079	52	74	0.18	-0.08	0.34	-0.28	0.16	0.22
49.5	7.7	28	74	0.03	0.15	0.35	0	0.25	0.65
50.7	2.9	14	77	0.064	0.3	0.2	0	0.37	0.6
51.517746	0.129667	57	74	0.1494	-0.08	0.34	0	0.16	0.22
51.698413	3.521746	45	72	0.18	-0.08	0.34	-0.28	0.16	0.22
54.1	3.8	14	74	0.064	0.3	0.2	0	0.37	0.6
55.216159	0.129667	57	72	0.1494	-0.08	0.34	0	0.16	0.22
55.396825	0.092933	77	69	0.1152	-0.08	0.34	0	0.16	0.22
55.485759	0.129667	59	69	0.1494	-0.08	0.34	0	0.16	0.22
55.611425	3.861908	43	69	0.18	-0.08	0.34	-0.28	0.16	0.22
59.469333	0.129667	63	69	0.1152	-0.08	0.34	0	0.16	0.22
60	3.2	14	70	0.064	-0.3	0.2	0	0.37	0.6
60	0.129667	57	69	0.1494	-0.08	0.34	0	0.16	0.22
60.125667	2.93	53	69	0.18	-0.08	0.34	-0.28	0.16	0.22
62.7	2.9	14	77	0.064	0.3	0.2	0	0.37	0.6
63.106667	0.129667	57	67	0.1494	-0.08	0.34	0	0.16	0.22
63.232333	2.841067	40	67	0.18	-0.08	0.34	-0.28	0.16	0.22
64	15.8	18	60	0.0035	-0.6	0.35	0	0	0.1
64.0	14	25	53	0.019	-0.4	0.35	0	0.08	0.58
64.009	14	25	57	0.019	-0.2	0.35	0	0.08	0.58
64.018	14	25	60	0.019	0.0	0.35	0	0.08	0.58
64.027	14	25	64	0.019	0.2	0.35	0	0.08	0.58
66.0694	0.092933	76	67	0.1152	-0.08	0.34	0	0.16	0.22
66.1	3.8	14	74	0.064	0.3	0.2	0	0.37	0.6
66.213333	0.092933	73	65	0.1152	-0.08	0.34	0	0.16	0.22
66.302267	1.724067	48	65	0.18	-0.08	0.34	-0.28	0.16	0.22
68.077333	0.129667	60	64	0.1494	-0.08	0.34	0	0.16	0.22
68.203	3.270333	44	64	0.18	-0.08	0.34	-0.28	0.16	0.22
71.469333	0.129667	57	64	0.1494	-0.08	0.34	0	0.16	0.22
72	3.2	14	65	0.064	-0.3	0.2	0	0.37	0.6
72	0.129667	63	65	0.1152	-0.08	0.34	0	0.16	0.22
72.125667	0.092933	73	65	0.1152	-0.08	0.34	0	0.16	0.22
72.2146	3.432813	52	65	0.18	-0.08	0.34	-0.28	0.16	0.22
74.7	2.9	14	72	0.064	0.3	0.2	0	0.37	0.6
75.698413	0.129667	61	69	0.1494	-0.08	0.34	0	0.16	0.22
75.824079	3.396079	41	69	0.18	-0.08	0.34	-0.28	0.16	0.22
78.1	3.8	14	69	0.064	0.3	0.2	0	0.37	0.6
