128	576	46301	7
0.0	12	16	60	0.026	-0.4	0.35	0	0.13	0.46
0	15.8	18	60	0.008	-0.6	0.35	0	0	0.1
0	1.4	27	75	0.055	0.3	0.35	0	0.24	0.38
0.009	12	16	63	0.026	-0.2	0.35	0	0.13	0.46
0.018	12	16	67	0.026	0.0	0.35	0	0.13	0.46
0.027	12	16	70	0.026	0.2	0.35	0	0.13	0.46
1	1.4	27	79	0.055	0.3	0.35	0	0.24	0.38
2	1.4	27	72	0.055	0.3	0.35	0	0.24	0.38
8	1.4	27	75	0.055	0.3	0.35	0	0.24	0.38
9	1.4	27	79	0.055	0.3	0.35	0	0.24	0.38
10	1.4	27	72	0.055	0.3	0.35	0	0.24	0.38
16	0.07	0	36	0.24	0	0.35	0	0	0.015
16.0	12	16	65	0.026	-0.4	0.35	0	0.13	0.46
16	15.8	18	60	0.008	0.6	0.35	0	0	0.1
16	1.3	21	49	0.12	0	0.35	0	0	0
16	1.4	27	80	0.055	0.3	0.35	0	0.24	0.38
16.009	12	16	68	0.026	-0.2	0.35	0	0.13	0.46
16.018	12	16	72	0.026	0.0	0.35	0	0.13	0.46
16.027	12	16	75	0.026	0.2	0.35	0	0.13	0.46
16.556568	0.04	2	42	0.032	-0.25	0.35	0	0.04	0.05
16.994762	0.09	1	38	0.105	-0.08	0.57	0	0.04	0.14
17	1.4	27	84	0.055	0.3	0.35	0	0.24	0.38
17.555389	0.04	2	42	0.027	0.3	0.35	0	0.04	0.05
18	0.07	0	36	0.24	0	0.35	0	0	0.015
18	0.8	21	56	0.12	0	0.35	0	0	0
18	1.4	27	77	0.055	0.3	0.35	0	0.24	0.38
18.555869	0.04	2	42	0.032	-0.25	0.35	0	0.04	0.05
19.00053	0.09	1	38	0.105	-0.08	0.57	0	0.04	0.14
19.560852	0.04	2	42	0.027	0.3	0.35	0	0.04	0.05
20	0.07	0	36	0.24	0	0.35	0	0	0.015
20.554585	0.04	2	42	0.032	-0.25	0.35	0	0.04	0.05
20.995261	0.09	1	38	0.105	-0.08	0.57	0	0.04	0.14
21.550755	0.04	2	42	0.027	0.3	0.35	0	0.04	0.05
22	0.07	0	36	0.24	0	0.35	0	0	0.015
22.560521	0.04	2	42	0.032	-0.25	0.35	0	0.04	0.05
23.001466	0.09	1	38	0.105	-0.08	0.57	0	0.04	0.14
23.549228	0.04	2	42	0.027	0.3	0.35	0	0.04	0.05
24	0.07	0	36	0.24	0	0.35	0	0	0.015
24	1.2	21	53	0.12	0	0.35	0	0	0
24	1.4	27	80	0.055	0.3	0.35	0	0.24	0.38
24.563298	0.04	2	42	0.032	-0.25	0.35	0	0.04	0.05
25	0.7	21	51	0.12	0	0.35	0	0	0
25	1.4	27	84	0.055	0.3	0.35	0	0.24	0.38
