124	480	44423	1
0.0	14	8	56	0.012	-0.4	0.35	0	0.07	0.36
0	1.2	10	72	0.064	-0.18	0.35	0	0.27	0.34
0	15.8	18	60	0.008	-0.6	0.35	0	0	0.1
0.009	14	8	60	0.012	-0.2	0.35	0	0.07	0.36
0.018	14	8	63	0.012	0.0	0.35	0	0.07	0.36
0.027	14	8	67	0.012	0.2	0.35	0	0.07	0.36
2	0.9	10	68	0.064	-0.18	0.35	0	0.27	0.34
3	0.138333	59	72	0.09545	-0.08	0.34	0	0.16	0.22
3.134333	1.453667	40	72	0.115	-0.08	0.34	-0.28	0.16	0.22
4	2.2	10	65	0.064	-0.18	0.35	0	0.27	0.34
4.584	0.138333	68	72	0.0736	-0.08	0.34	0	0.16	0.22
4.773333	1.013	50	68	0.115	-0.08	0.34	-0.28	0.16	0.22
5.837333	0.138333	59	65	0.09545	-0.08	0.34	0	0.16	0.22
5.971667	1.492933	51	65	0.115	-0.08	0.34	-0.28	0.16	0.22
7.4606	0.099067	73	65	0.0736	-0.08	0.34	0	0.16	0.22
7.610667	1.854	45	70	0.115	-0.08	0.34	-0.28	0.16	0.22
8	1.2	10	72	0.064	-0.18	0.35	0	0.27	0.34
9.460667	0.138333	57	70	0.09545	-0.08	0.34	0	0.16	0.22
10	0.9	10	68	0.064	-0.18	0.35	0	0.27	0.34
12	2.2	10	65	0.064	-0.18	0.35	0	0.27	0.34
16.0	14	8	53	0.012	-0.4	0.35	0	0.07	0.36
16	1.2	10	68	0.064	-0.18	0.35	0	0.27	0.34
16	15.8	18	60	0.008	0.6	0.35	0	0	0.1
16.009	14	8	56	0.012	-0.2	0.35	0	0.07	0.36
16.018	14	8	60	0.012	0.0	0.35	0	0.07	0.36
18	0.9	10	65	0.064	-0.18	0.35	0	0.27	0.34
20	2.2	10	61	0.064	-0.18	0.35	0	0.27	0.34
20	1.169667	45	72	0.105	0.36	0.3	-0.28	0.4	0.22
21.165667	0.138333	57	72	0.08715	0.36	0.3	0	0.4	0.22
23	1.669667	45	68	0.085	-0.4	0.3	-0.28	0.4	0.22
24	1.2	10	68	0.064	-0.18	0.35	0	0.27	0.34
24.665667	0.138333	57	68	0.07055	-0.4	0.3	0	0.4	0.22
26	0.9	10	65	0.064	-0.18	0.35	0	0.27	0.34
28	2.2	10	61	0.064	-0.18	0.35	0	0.27	0.34
32	0.07	0	36	0.1968	0	0.35	0	0	0.015
32.0	14	8	60	0.012	-0.4	0.35	0	0.07	0.36
32	1.2	10	75	0.064	-0.18	0.35	0	0.27	0.34
32	15.8	18	60	0.008	-0.6	0.35	0	0	0.1
32.009	14	8	63	0.012	-0.2	0.35	0	0.07	0.36
32.018	14	8	67	0.012	0.0	0.35	0	0.07	0.36
32.027	14	8	70	0.012	0.2	0.35	0	0.07	0.36
32.08	7.6	22	44	0.071	0	0.35	0	0	0
32.549314	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
33	0.07	0	36	0.1968	0	0.35	0	0	0.015
33.006626	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
33.543212	0.04	2	42	0.02214	0.3	0.35	0	0.04	0.05
34	0.07	0	36	0.1968	0	0.35	0	0	0.015
34	0.9	10	72	0.064	-0.18	0.35	0	0.27	0.34
34.546484	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
35	0.07	0	36	0.1968	0	0.35	0	0	0.015
35.004835	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
35.551986	0.04	2	42	0.02214	0.3	0.35	0	0.04	0.05
36	0.07	0	36	0.1968	0	0.35	0	0	0.015
36	2.2	10	68	0.064	-0.18	0.35	0	0.27	0.34
36.541292	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
36.998014	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
37	0.07	0	36	0.1968	0	0.35	0	0	0.015
37.542922	0.04	2	42	0.02214	0.3	0.35	0	0.04	0.05
38	0.07	0	36	0.1968	0	0.35	0	0	0.015
38.551177	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
38.999665	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
39	0.07	0	36	0.1968	0	0.35	0	0	0.015
39.542586	0.04	2	42	0.02214	0.3	0.35	0	0.04	0.05
40	0.07	0	36	0.1968	0	0.35	0	0	0.015
40	1.2	10	75	0.064	-0.18	0.35	0	0.27	0.34
40.08	7.6	22	44	0.071	0	0.35	0	0	0
40.551413	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
40.997049	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
41	0.07	0	36	0.1968	0	0.35	0	0	0.015
41.547442	0.04	2	42	0.02214	0.3	0.35	0	0.04	0.05
42	0.07	0	36	0.1968	0	0.35	0	0	0.015
42	0.9	10	72	0.064	-0.18	0.35	0	0.27	0.34
42.543131	0.04	2	42	0.02624	-0.25	0.35	0	0.04	0.05
42.99789	0.09	1	38	0.0861	-0.08	0.21	0	0.04	0.14
43	0.07	0	36	0.1968	0	0.35	0	0	0.015
