260.703027 3 260917 3.3 0.416667
0.00195 1.444444 26 53 0.0099 -0.72 0.32 0 0.04 0.24 -1 -1 1417749096
0.004052 8.546976 302 53 0.0045 -0.72 0.32 0 0.04 0.55 -1 -1 1802603317
0.004857 8.546955 302 57 0.0045 -0.24 0.4 0 0.04 0.55 -1 -1 1363683306
0.00736 1.777778 23 41 0.027 0 0.4 0 0.04 0.1 -1 -1 1768717591
0.010453 1.444444 26 57 0.0099 -0.24 0.4 0 0.04 0.24 -1 -1 1567387302
0.023548 1.444444 26 60 0.0099 0.24 0.48 0 0.04 0.24 -1 -1 1691997077
0.023598 8.546462 302 60 0.0045 0.24 0.48 0 0.04 0.55 -1 -1 254477780
0.028181 1.444444 26 64 0.0099 0.72 0.56 0 0.04 0.24 -1 -1 983253855
0.035854 8.546139 302 64 0.0045 0.72 0.56 0 0.04 0.55 -1 -1 1689853219
2.225981 0.387826 103 53 0.009113 -0.1539 0.4 0 0.04 0.3 -1 -1 1306347675
2.229744 1.429266 26 53 0.010882 -0.72 0.32 0 0.04 0.24 -1 -1 1259092993
2.239121 1.429266 26 57 0.010882 -0.24 0.4 0 0.04 0.24 -1 -1 1688058722
2.247094 1.429266 26 60 0.010882 0.24 0.48 0 0.04 0.24 -1 -1 1901478092
2.257236 1.429266 26 64 0.010882 0.72 0.56 0 0.04 0.24 -1 -1 1621367377
2.692537 0.387826 103 57 0.008963 0.242 0.4 0 0.04 0.3 -1 -1 1813850146
3.156045 0.387826 103 60 0.008685 -0.0309 0.4 0 0.04 0.3 -1 -1 1272118980
3.625847 0.387826 103 57 0.009333 -0.2201 0.4 0 0.04 0.3 -1 -1 2033524597
4.424479 1.41613 26 53 0.011864 -0.72 0.32 0 0.04 0.24 -1 -1 1447032180
4.427256 1.742929 23 41 0.032357 0 0.4 0 0.04 0.1 -1 -1 553115996
4.428827 1.41613 26 57 0.011864 -0.24 0.4 0 0.04 0.24 -1 -1 843100458
4.445403 1.41613 26 60 0.011864 0.24 0.48 0 0.04 0.24 -1 -1 1684329932
4.445534 1.41613 26 64 0.011864 0.72 0.56 0 0.04 0.24 -1 -1 1015999329
4.47556 0.046 1037 53 0.349421 -0.1 0.5 0 0.025 0.19 -1 1 1356127216
4.52156 1.625817 1001 53 0.332782 -0.1 0.5 -0.3 0.025 0.19 37 28 619855369
6.147378 0.065 1028 53 0.349421 -0.1 0.5 0 0.025 0.19 1 -1 1496793520
6.253228 0.065359 1016 60 0.249666 -0.1 0.5 0 0.025 0.19 -1 0 2106756840
6.318587 1.66191 1000 60 0.312083 -0.1 0.5 -1.2 0.025 0.19 16 -1 1406096465
6.599413 0.381625 103 53 0.011074 -0.0736 0.4 0 0.04 0.3 -1 -1 903019897
6.604058 1.406404 26 53 0.012846 -0.72 0.32 0 0.04 0.24 -1 -1 1769425092
6.609036 1.406404 26 57 0.012846 -0.24 0.4 0 0.04 0.24 -1 -1 445718528
6.617009 1.406404 26 60 0.012846 0.24 0.48 0 0.04 0.24 -1 -1 831833675
6.632569 1.406404 26 64 0.012846 0.72 0.56 0 0.04 0.24 -1 -1 676990307
7.057786 0.381622 103 57 0.009176 -0.1391 0.4 0 0.04 0.3 -1 -1 671866852
7.524051 0.381622 103 60 0.011231 -0.243 0.4 0 0.04 0.3 -1 -1 687402518
7.983858 0.381622 103 57 0.011179 0.2071 0.4 0 0.04 0.3 -1 -1 1734226977
8.021066 1.105577 1004 57 0.320824 -0.1 0.5 0.75 0.025 0.19 -1 -1 1385763180
8.758317 8.424823 302 58 0.006286 -0.72 0.32 0 0.04 0.55 -1 -1 875088340
8.763366 1.400997 26 58 0.013829 -0.72 0.32 0 0.04 0.24 -1 -1 1076595420
8.765502 1.724304 23 46 0.037714 0 0.4 0 0.04 0.1 -1 -1 2122494742
8.777185 1.400997 26 62 0.013829 -0.24 0.4 0 0.04 0.24 -1 -1 1331476657
