296.989226 6 260920 1.9 0.478723
0.0 1.659574 6 36 0.0432 0 0.4 0 0.04 0.03 -1 -1 1000974832
0.0 0.249 313 72 0.073406 0.0445 0.4 0 0.04 0.26 -1 -1 1097666632
0.002973 1.914894 26 48 0.0081 -0.72 0.32 0 0.04 0.18 -1 -1 1306528304
0.014466 1.914894 26 51 0.0081 -0.24 0.4 0 0.04 0.18 -1 -1 1259984019
0.017435 1.914894 26 55 0.0081 0.24 0.48 0 0.04 0.18 -1 -1 2056281941
0.039351 1.914894 26 58 0.0081 0.72 0.56 0 0.04 0.18 -1 -1 248851123
0.302235 0.249 313 78 0.074054 0.0416 0.4 0 0.04 0.26 -1 -1 61296119
0.606544 0.249 313 79 0.072979 0.1217 0.4 0 0.04 0.26 -1 -1 1903975838
0.905524 0.249 313 83 0.071239 -0.2032 0.4 0 0.04 0.26 -1 -1 1031378339
1.207704 0.249 313 86 0.075087 -0.1367 0.4 0 0.04 0.26 -1 -1 1035060936
1.494057 0.249 313 81 0.076377 0.1727 0.4 0 0.04 0.26 -1 -1 2103251705
1.802014 0.249 313 77 0.079941 -0.1264 0.4 0 0.04 0.26 -1 -1 1595136407
2.559986 1.914894 26 51 0.008904 -0.24 0.4 0 0.04 0.18 -1 -1 1558958691
2.561148 1.914894 26 48 0.008904 -0.72 0.32 0 0.04 0.18 -1 -1 1595785305
2.5731 1.914894 26 55 0.008904 0.24 0.48 0 0.04 0.18 -1 -1 1296851189
2.593169 1.914894 26 58 0.008904 0.72 0.56 0 0.04 0.18 -1 -1 411828521
5.102233 1.914894 26 48 0.009707 -0.72 0.32 0 0.04 0.18 -1 -1 594813502
5.102305 1.659574 6 36 0.051771 0 0.4 0 0.04 0.03 -1 -1 145288291
5.118574 1.914894 26 51 0.009707 -0.24 0.4 0 0.04 0.18 -1 -1 1477796075
5.131337 1.914894 26 55 0.009707 0.24 0.48 0 0.04 0.18 -1 -1 789593921
5.141028 1.914894 26 58 0.009707 0.72 0.56 0 0.04 0.18 -1 -1 877045761
5.170213 0.046 1336 72 0.270314 0.35 0.5 0 0.025 0.19 -1 20 560102142
5.216213 0.065 1320 72 0.205953 0.35 0.5 0 0.025 0.19 36 5 689569735
5.281213 1.634063 1305 72 0.257442 0.35 0.5 -0.3 0.025 0.19 20 32 1209785537
6.915276 0.046 1332 72 0.270314 0.35 0.5 0 0.025 0.19 5 -1 142858808
7.009148 0.065 1331 78 0.279322 0.35 0.5 0 0.025 0.19 -1 4 819615931
7.074148 1.082436 1304 78 0.266021 0.35 0.5 -1.2 0.025 0.19 31 -1 1486371080
