132 640 19982010
0 7.7 9 50 0.042 -0.55 0.4 0
0 7.7 9 54 0.042 -0.18 0.4 0
0 7.7 9 57 0.042 0.18 0.4 0
0 7.7 9 62 0.042 0.55 0.4 0
0 2.5 10 74 0.11 -0.15 0.3 0
0 1.4 10 74 0.13 0 0.35 0.4
1.5 0.85 10 78 0.1222 0 0.35 0.4
2.5 0.4 10 76 0.1222 0 0.35 0.4
2.75 1.2 10 81 0.075 0.2 0.35 0
3 0.8 10 74 0.1222 0 0.35 0.4
4 0.9 10 69 0.13 0 0.35 0.4
5 0.65 10 74 0.1222 0 0.35 0.4
5.75 0.65 10 76 0.1222 0 0.35 0.4
6.5 1.2 10 78 0.1222 0 0.35 0.4
8 7.7 9 57 0.042 -0.55 0.4 0
8 7.7 9 61 0.042 -0.18 0.4 0
8 7.7 9 64 0.042 0.18 0.4 0
8 7.7 9 69 0.042 0.55 0.4 0
8 1.4 10 83 0.13 0 0.35 0.4
9.5 0.85 10 81 0.1222 0 0.35 0.4
10.5 1.2 10 78 0.1222 0 0.35 0.4
12 0.65 10 74 0.13 0 0.35 0.4
12.75 0.65 10 78 0.1222 0 0.35 0.4
13.5 1.3 10 83 0.1222 0 0.35 0.4
15 0.8 10 81 0.1222 0 0.35 0.4
16 7.7 9 59 0.042 -0.55 0.4 0
16 7.7 9 62 0.042 -0.18 0.4 0
16 7.7 9 66 0.042 0.18 0.4 0
16 7.7 9 71 0.042 0.55 0.4 0
16 1.85 10 78 0.13 0 0.35 0.4
16.0 0.15 11 71 0.073 0.22 0.3467 0
16.5 0.05 2 42 0.055 -0.2 0.65 0
16.5 0.15 11 78 0.073 -0.22 0.3467 0
17.0 0.15 11 74 0.073 0.22 0.3467 0
17.5 0.05 2 42 0.055 -0.2 0.65 0
17.5 0.15 11 83 0.073 -0.22 0.3467 0
18 0.85 10 81 0.1222 0 0.35 0.4
18.0 0.15 11 78 0.073 0.22 0.3467 0
18.5 0.05 2 42 0.055 -0.2 0.65 0
18.5 0.15 11 86 0.073 -0.22 0.3467 0
19 0.85 10 78 0.1222 0 0.35 0.4
19.0 0.15 11 74 0.073 0.22 0.3467 0
19.5 0.05 2 42 0.055 -0.2 0.65 0
19.5 0.15 11 78 0.073 -0.22 0.3467 0
20 0.85 10 74 0.13 0 0.35 0.4
20.0 0.15 11 71 0.073 0.22 0.3833 0
20.5 0.05 2 42 0.055 -0.2 0.65 0
20.5 0.15 11 78 0.073 -0.22 0.3833 0
21 0.4 10 73 0.1222 0 0.35 0.4
21.0 0.15 11 74 0.073 0.22 0.3833 0
21.5 0.05 2 42 0.055 -0.2 0.65 0
21.5 0.65 10 74 0.1222 0 0.35 0.4
21.5 0.15 11 83 0.073 -0.22 0.3833 0
22.0 0.15 11 78 0.073 0.22 0.3833 0
22.25 1.5 10 78 0.1222 0 0.35 0.4
22.5 0.05 2 42 0.055 -0.2 0.65 0
22.5 0.15 11 86 0.073 -0.22 0.3833 0
23.0 0.15 11 74 0.073 0.22 0.3833 0
23.5 0.05 2 42 0.055 -0.2 0.65 0
23.5 0.15 11 78 0.073 -0.22 0.3833 0
24 7.7 9 55 0.042 -0.55 0.4 0
24 7.7 9 59 0.042 -0.18 0.4 0
24 7.7 9 62 0.042 0.18 0.4 0
24 7.7 9 67 0.042 0.55 0.4 0
24 1.4 10 79 0.13 0 0.35 0.4
24.0 0.15 11 67 0.073 0.22 0.42 0
24.5 0.05 2 42 0.055 -0.2 0.65 0
24.5 0.15 11 74 0.073 -0.22 0.42 0
25.0 0.15 11 71 0.073 0.22 0.42 0
25.5 0.05 2 42 0.055 -0.2 0.65 0
25.5 0.85 10 76 0.1222 0 0.35 0.4
25.5 0.15 11 79 0.073 -0.22 0.42 0
26.0 0.15 11 74 0.073 0.22 0.42 0
26.5 0.05 2 42 0.055 -0.2 0.65 0
26.5 1.2 10 73 0.1222 0 0.35 0.4
26.5 0.15 11 83 0.073 -0.22 0.42 0
27.0 0.15 11 71 0.073 0.22 0.42 0
27.5 0.05 2 42 0.055 -0.2 0.65 0
27.5 0.15 11 74 0.073 -0.22 0.42 0
28 0.85 10 76 0.13 0 0.35 0.4
28.0 0.15 11 67 0.073 0.22 0.4567 0
28.5 0.05 2 42 0.055 -0.2 0.65 0
28.5 0.15 11 74 0.073 -0.22 0.4567 0
29 0.85 10 74 0.1222 0 0.35 0.4
29.0 0.15 11 71 0.073 0.22 0.4567 0
29.5 0.05 2 42 0.055 -0.2 0.65 0
29.5 0.15 11 79 0.073 -0.22 0.4567 0
30 0.65 10 73 0.1222 0 0.35 0.4
30.0 0.15 11 74 0.073 0.22 0.4567 0
30.5 0.05 2 42 0.055 -0.2 0.65 0
30.5 0.15 11 83 0.073 -0.22 0.4567 0
31.0 0.15 11 71 0.073 0.22 0.4567 0
31.25 0.5 10 69 0.1222 0 0.35 0.4
31.5 0.05 2 42 0.055 -0.2 0.65 0
31.5 0.15 11 74 0.073 -0.22 0.4567 0
32 0.1 0 36 0.59 0 0.65 0
32 7.7 9 50 0.042 -0.55 0.4 0
